Zalcalの命令列,オリジナル,不明,ppl
aload invokevirtual invokestatic invokespecial aload,1,1,6983.37
aload invokevirtual invokevirtual astore gotoInsn,1,1,4905.66
aload invokevirtual invokevirtual invokespecial aastore,1,1,5713.9
aload invokevirtual ldc invokevirtual invokevirtual,1,1,4813.42
aload invokevirtual ldc ldiv lstore,1,1,5748.47
aload lconst0 putfield aload getfield,1,1,5864.83
aload ldc iconst1 anewarray dup,1,1,12076.8
aload ldc invokestatic invokestatic checkcast,1,1,15095.6
aload ldc invokevirtual aload iconst3,1,1,19835.4
aload ldc invokevirtual aload invokevirtual,1,1,4616.36
aload ldc invokevirtual astore aload,1,1,4502.69
aload ldc invokevirtual putfield aload,1,1,11255.5
aload ldc ldc iconstM1 aconstNull,1,1,16917.4
aload ldc putfield aload aload,1,1,4331.98
aload ldc putfield aload dconst1,1,1,13869.4
aload ldc putfield aload iconst0,1,1,17029.9
aload ldc putfield aload iconst2,1,1,23230.5
aload lload bipush lshr l2i,,1,5141.94
aload newInsn dup aload getfield,1,1,3743.61
aload newInsn dup aload invokespecial,1,1,3582.65
aload newInsn dup iconst3 invokespecial,1,1,1931.92
aload newInsn dup invokespecial dupX1,1,1,4607.5
aload newInsn dup ldc invokestatic,1,1,6829.36
aload newInsn dup newInsn dup,1,1,3339.99
aload newInsn dup sipush bipush,1,1,83016.4
aload putfield aload aload aload,1,1,20318.9
aload putfield aload aload putfield,1,1,2841.71
aload putfield aload invokespecial aload,1,1,7829.29
aload sipush sipush invokevirtual aload,1,1,6217.15
anewarray astore iconst0 istore gotoInsn,1,1,5025.74
anewarray dup iconst0 aload aastore,1,1,2206.38
anewarray dup iconst0 aload invokevirtual,1,1,7321.22
areturn aload getfield ifnull aload,1,1,5138.2
areturn newInsn dup invokespecial astore,1,1,4208.18
areturn pop aload invokeinterface ifne,1,1,11000.6
arraylength anewarray astore iconst0 istore,1,1,10361.7
arraylength ifIcmplt newInsn dup aload,1,1,11958.7
astore aload aconstNull iconst1 anewarray,1,1,3399.39
astore aload aload invokestatic putfield,1,1,5257.21
astore aload aload invokevirtual aload,1,1,825.59
astore aload aload ldc invokevirtual,1,1,3582.72
astore aload aload ldc ldc,1,1,29329.5
astore aload iconst1 putfield aload,1,1,5040.32
astore aload ifnonnull ldc astore,1,1,3247.82
astore aload ifnonnull newInsn dup,1,1,4743.12
astore aload ifnull newInsn dup,1,1,7630.43
astore aload invokevirtual aload getfield,1,1,2515.07
astore aload invokevirtual gotoInsn astore,1,1,6927.59
astore aload invokevirtual ldc ldiv,1,1,3321.09
astore aload ldc iconst1 anewarray,1,1,4561.45
astore aload newInsn dup aload,1,1,7380.21
astore aload newInsn dup invokespecial,1,1,12330.4
astore gotoInsn aload astore aload,1,1,3671.96
astore gotoInsn aload invokeinterface checkcast,1,1,3559.19
astore gotoInsn lload lload lcmp,1,1,886.172
astore gotoInsn newInsn dup aload,1,1,6406.34
astore iconst0 istore gotoInsn aload,2,1,4788.12
astore invokestatic aload invokevirtual aload,1,1,1769.21
astore invokestatic invokevirtual astore newInsn,1,1,4841.24
astore ldc astore newInsn dup,1,1,6473.78
astore lload lload lcmp ifle,1,1,13685.1
astore newInsn dup invokespecial astore,1,1,3058.9
bipush bipush bipush iconst0 invokespecial,1,1,10865.6
bipush bipush bipush iconst0 invokevirtual,1,1,21136.5
bipush bipush iconst0 invokespecial putfield,1,1,13831.8
bipush bipush iconst0 invokevirtual aload,1,1,6838.92
bipush iconst0 invokespecial putfield aload,1,1,11890.6
bipush iconst0 invokevirtual aload aload,1,1,7077.99
bipush iconst2 invokevirtual invokestatic istore,1,1,66245.4
bipush iload invokevirtual aload bipush,2,1,53165
bipush invokespecial putfield aload aconstNull,1,1,30492.7
bipush irem ireturn ldc dload,1,1,28368.1
